year,i,j,vote,vote_jury,vote_tele,n_part,quality,bias,imp_i,imp_j,running_final,place_final,song_order,english,french,duet,group,female,host,contig,language,diaspora,lag_vote_ij,lag_vote_ji,row_points_j,cohort,voter,receiver,total_j,period,friend_m1,friend_m2,fm1_x_imp,fm2_x_imp
1998,be,si,0.0,,,25,0.7391304347826086,-0.7391304347826086,0.7777777777777778,0.75,12.0,18.0,12.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,,,,1,Belgium,Slovenia,17.0,1998-2026,0,0,0.0,0.0
1998,be,sk,0.0,,,25,0.34782608695652173,-0.34782608695652173,0.7777777777777778,0.7037037037037037,6.0,21.0,6.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,,,,1,Belgium,Slovakia,8.0,1998-2026,0,0,0.0,0.0
1998,be,tr,0.0,,,25,1.0869565217391304,-1.0869565217391304,0.7777777777777778,0.5,24.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,,,,1,Belgium,Turkey,25.0,1998-2026,0,1,0.0,0.7777777777777778
1998,hr,be,0.0,,,25,5.304347826086956,-5.304347826086956,0.5625,0.7777777777777778,20.0,6.0,20.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,,,,1,Croatia,Belgium,122.0,1998-2026,0,0,0.0,0.0
1998,hr,ch,0.0,,,25,0.0,0.0,0.5625,0.9444444444444444,5.0,25.0,5.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,,0.0,,1,Croatia,Switzerland,0.0,1998-2026,0,0,0.0,0.0
1998,hr,cy,4.0,,,25,1.434782608695652,2.5652173913043477,0.5625,0.8796296296296297,17.0,11.0,17.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,,4.0,,1,Croatia,Cyprus,37.0,1998-2026,0,0,0.0,0.0
1998,hr,de,0.0,,,25,3.739130434782609,-3.739130434782609,0.5625,0.9444444444444444,9.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,,1.0,,1,Croatia,Germany,86.0,1998-2026,0,0,0.0,0.0
1998,hr,ee,0.0,,,25,1.565217391304348,-1.565217391304348,0.5625,0.75,23.0,12.0,23.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,,0.0,,1,Croatia,Estonia,36.0,1998-2026,0,0,0.0,0.0
1998,hr,es,1.0,,,25,0.8695652173913043,0.13043478260869568,0.5625,0.75,4.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,,0.0,,1,Croatia,Spain,21.0,1998-2026,0,0,0.0,0.0
1998,hr,fi,0.0,,,25,0.9565217391304348,-0.9565217391304348,0.5625,1.0,21.0,15.0,21.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,,,,1,Croatia,Finland,22.0,1998-2026,0,0,0.0,0.0
