year,i,j,pub,quality,bias,is_xx,diaspora,recv_bloc
2023,al,am,0.0,1.2857142857142858,-1.2857142857142858,0,0,1
2023,al,at,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,al,au,0.0,0.6,-0.6,0,0,0
2023,al,be,0.0,1.5714285714285714,-1.5714285714285714,0,0,1
2023,al,ch,0.0,0.8857142857142857,-0.8857142857142857,0,0,1
2023,al,cy,7.0,1.457142857142857,5.542857142857143,0,0,1
2023,al,cz,0.0,1.0,-1.0,0,0,0
2023,al,de,0.0,0.42857142857142855,-0.42857142857142855,0,0,1
2023,al,ee,0.0,0.6285714285714286,-0.6285714285714286,0,0,1
2023,al,es,0.0,0.08571428571428572,-0.08571428571428572,0,0,1
2023,al,fi,6.0,10.285714285714286,-4.2857142857142865,0,0,1
2023,al,fr,3.0,1.3142857142857143,1.6857142857142857,0,0,1
2023,al,gb,0.0,0.2571428571428571,-0.2571428571428571,0,0,1
2023,al,hr,8.0,2.8857142857142857,5.114285714285714,0,0,1
2023,al,il,5.0,4.8,0.20000000000000018,0,1,1
2023,al,it,12.0,4.628571428571429,7.371428571428571,0,0,1
2023,al,lt,0.0,1.3142857142857143,-1.3142857142857143,0,0,1
2023,al,md,0.0,2.1714285714285713,-2.1714285714285713,0,0,1
2023,al,no,4.0,5.942857142857143,-1.942857142857143,0,0,1
2023,al,pl,1.0,2.2857142857142856,-1.2857142857142856,0,0,1
2023,al,pt,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,al,rs,0.0,0.45714285714285713,-0.45714285714285713,0,4,1
2023,al,se,10.0,6.457142857142857,3.5428571428571427,0,0,1
2023,al,si,2.0,1.2285714285714286,0.7714285714285714,0,0,1
2023,al,ua,0.0,5.257142857142857,-5.257142857142857,0,0,1
2023,am,al,0.0,1.5142857142857142,-1.5142857142857142,0,0,1
2023,am,at,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,am,au,0.0,0.6,-0.6,0,0,0
2023,am,be,0.0,1.5714285714285714,-1.5714285714285714,0,0,1
2023,am,ch,2.0,0.8285714285714286,1.1714285714285713,0,0,1
2023,am,cy,8.0,1.4285714285714286,6.571428571428571,0,0,1
2023,am,cz,0.0,1.0,-1.0,0,0,0
2023,am,de,0.0,0.42857142857142855,-0.42857142857142855,0,0,1
2023,am,ee,0.0,0.6285714285714286,-0.6285714285714286,0,0,1
2023,am,es,0.0,0.08571428571428572,-0.08571428571428572,0,0,1
2023,am,fi,6.0,10.285714285714286,-4.2857142857142865,0,0,1
2023,am,fr,10.0,1.1142857142857143,8.885714285714286,0,0,1
2023,am,gb,0.0,0.2571428571428571,-0.2571428571428571,0,0,1
2023,am,hr,0.0,3.1142857142857143,-3.1142857142857143,0,0,1
2023,am,il,12.0,4.6,7.4,0,2,1
2023,am,it,3.0,4.885714285714286,-1.8857142857142861,0,0,1
2023,am,lt,0.0,1.3142857142857143,-1.3142857142857143,0,0,1
2023,am,md,0.0,2.1714285714285713,-2.1714285714285713,0,0,1
2023,am,no,4.0,5.942857142857143,-1.942857142857143,0,0,1
2023,am,pl,5.0,2.1714285714285713,2.8285714285714287,0,0,1
2023,am,pt,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,am,rs,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,am,se,7.0,6.542857142857143,0.4571428571428573,0,0,1
2023,am,si,0.0,1.2857142857142858,-1.2857142857142858,0,0,1
2023,am,ua,1.0,5.228571428571429,-4.228571428571429,0,4,1
2023,au,al,0.0,1.5142857142857142,-1.5142857142857142,0,0,1
2023,au,am,0.0,1.2857142857142858,-1.2857142857142858,0,0,1
2023,au,at,7.0,0.2571428571428571,6.742857142857143,0,0,1
2023,au,be,3.0,1.4857142857142858,1.5142857142857142,0,0,1
2023,au,ch,0.0,0.8857142857142857,-0.8857142857142857,0,0,1
2023,au,cy,8.0,1.4285714285714286,6.571428571428571,0,0,1
2023,au,cz,0.0,1.0,-1.0,0,0,0
2023,au,de,0.0,0.42857142857142855,-0.42857142857142855,0,0,1
2023,au,ee,0.0,0.6285714285714286,-0.6285714285714286,0,0,1
2023,au,es,0.0,0.08571428571428572,-0.08571428571428572,0,0,1
2023,au,fi,12.0,10.114285714285714,1.8857142857142861,0,0,1
2023,au,fr,2.0,1.3428571428571427,0.6571428571428573,0,0,1
2023,au,gb,0.0,0.2571428571428571,-0.2571428571428571,0,0,1
2023,au,hr,4.0,3.0,1.0,0,0,1
2023,au,il,5.0,4.8,0.20000000000000018,0,0,1
2023,au,it,0.0,4.9714285714285715,-4.9714285714285715,0,0,1
2023,au,lt,0.0,1.3142857142857143,-1.3142857142857143,0,0,1
2023,au,md,0.0,2.1714285714285713,-2.1714285714285713,0,0,1
2023,au,no,6.0,5.885714285714286,0.11428571428571388,0,0,1
2023,au,pl,0.0,2.3142857142857145,-2.3142857142857145,0,0,1
2023,au,pt,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,au,rs,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,au,se,10.0,6.457142857142857,3.5428571428571427,0,0,1
2023,au,si,1.0,1.2571428571428571,-0.2571428571428571,0,0,1
2023,au,ua,0.0,5.257142857142857,-5.257142857142857,0,0,1
2023,at,al,3.0,1.4285714285714286,1.5714285714285714,0,0,1
2023,at,am,0.0,1.2857142857142858,-1.2857142857142858,0,0,1
2023,at,au,0.0,0.6,-0.6,0,0,0
2023,at,be,0.0,1.5714285714285714,-1.5714285714285714,0,0,1
2023,at,ch,2.0,0.8285714285714286,1.1714285714285713,0,0,1
2023,at,cy,0.0,1.6571428571428573,-1.6571428571428573,0,0,1
2023,at,cz,0.0,1.0,-1.0,0,0,0
2023,at,de,6.0,0.2571428571428571,5.742857142857143,0,4,1
2023,at,ee,0.0,0.6285714285714286,-0.6285714285714286,0,0,1
2023,at,es,0.0,0.08571428571428572,-0.08571428571428572,0,0,1
2023,at,fi,12.0,10.114285714285714,1.8857142857142861,0,0,1
2023,at,fr,0.0,1.4,-1.4,0,0,1
2023,at,gb,0.0,0.2571428571428571,-0.2571428571428571,0,0,1
2023,at,hr,10.0,2.8285714285714287,7.171428571428571,0,2,1
2023,at,il,1.0,4.914285714285715,-3.9142857142857146,0,0,1
2023,at,it,8.0,4.742857142857143,3.257142857142857,0,0,1
2023,at,lt,0.0,1.3142857142857143,-1.3142857142857143,0,0,1
2023,at,md,0.0,2.1714285714285713,-2.1714285714285713,0,0,1
2023,at,no,7.0,5.857142857142857,1.1428571428571432,0,0,1
2023,at,pl,0.0,2.3142857142857145,-2.3142857142857145,0,1,1
2023,at,pt,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,at,rs,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,at,se,4.0,6.628571428571429,-2.628571428571429,0,0,1
2023,at,si,0.0,1.2857142857142858,-1.2857142857142858,0,0,1
2023,at,ua,5.0,5.114285714285714,-0.11428571428571388,0,0,1
2023,az,al,0.0,1.5142857142857142,-1.5142857142857142,0,0,1
2023,az,am,0.0,1.2857142857142858,-1.2857142857142858,0,5,1
2023,az,at,0.0,0.45714285714285713,-0.45714285714285713,0,0,1
2023,az,au,0.0,0.6,-0.6,0,0,0
2023,az,be,0.0,1.5714285714285714,-1.5714285714285714,0,0,1
2023,az,ch,1.0,0.8571428571428571,0.1428571428571429,0,0,1
2023,az,cy,6.0,1.4857142857142858,4.514285714285714,0,0,1
