"period","i","j","friend_m2"
"1975-1997","at","ba",0
"1975-1997","at","be",0
"1975-1997","at","ch",0
"1975-1997","at","cy",0
"1975-1997","at","de",0
"1975-1997","at","dk",0
"1975-1997","at","ee",0
"1975-1997","at","es",0
"1975-1997","at","fi",0
"1975-1997","at","fr",0
"1975-1997","at","gb",1
"1975-1997","at","gr",0
"1975-1997","at","hr",0
"1975-1997","at","hu",0
"1975-1997","at","ie",0
"1975-1997","at","il",0
"1975-1997","at","is",0
"1975-1997","at","it",0
"1975-1997","at","lu",0
"1975-1997","at","mc",0
"1975-1997","at","mt",0
"1975-1997","at","nl",0
"1975-1997","at","no",0
"1975-1997","at","pl",0
"1975-1997","at","pt",0
"1975-1997","at","ru",0
"1975-1997","at","se",0
"1975-1997","at","si",0
"1975-1997","at","tr",0
"1975-1997","at","yu",0
"1975-1997","ba","at",0
"1975-1997","ba","be",0
"1975-1997","ba","ch",0
"1975-1997","ba","cy",0
"1975-1997","ba","de",0
"1975-1997","ba","dk",0
"1975-1997","ba","ee",0
"1975-1997","ba","es",0
"1975-1997","ba","fi",0
"1975-1997","ba","fr",0
"1975-1997","ba","gb",0
"1975-1997","ba","gr",0
"1975-1997","ba","hr",0
"1975-1997","ba","hu",0
"1975-1997","ba","ie",0
"1975-1997","ba","is",0
"1975-1997","ba","mt",0
"1975-1997","ba","nl",0
"1975-1997","ba","no",0
"1975-1997","ba","pl",0
"1975-1997","ba","pt",0
"1975-1997","ba","ru",0
"1975-1997","ba","se",0
"1975-1997","ba","si",0
"1975-1997","ba","tr",0
"1975-1997","be","at",0
"1975-1997","be","ba",0
"1975-1997","be","ch",0
"1975-1997","be","cy",0
"1975-1997","be","de",1
"1975-1997","be","dk",0
"1975-1997","be","es",0
"1975-1997","be","fi",0
"1975-1997","be","fr",0
"1975-1997","be","gb",0
"1975-1997","be","gr",0
"1975-1997","be","hr",0
"1975-1997","be","ie",0
"1975-1997","be","il",0
"1975-1997","be","is",0
"1975-1997","be","it",0
"1975-1997","be","lu",0
"1975-1997","be","mc",0
"1975-1997","be","mt",0
"1975-1997","be","nl",0
"1975-1997","be","no",1
"1975-1997","be","pt",0
"1975-1997","be","se",0
"1975-1997","be","si",0
"1975-1997","be","tr",0
"1975-1997","be","yu",0
"1975-1997","ch","at",0
"1975-1997","ch","ba",0
"1975-1997","ch","be",0
"1975-1997","ch","cy",0
"1975-1997","ch","de",0
"1975-1997","ch","dk",0
"1975-1997","ch","ee",0
"1975-1997","ch","es",0
"1975-1997","ch","fi",0
"1975-1997","ch","fr",0
"1975-1997","ch","gb",0
"1975-1997","ch","gr",0
"1975-1997","ch","hr",0
"1975-1997","ch","ie",0
"1975-1997","ch","il",1
"1975-1997","ch","is",0
"1975-1997","ch","it",0
"1975-1997","ch","lu",0
"1975-1997","ch","mc",0
"1975-1997","ch","mt",0
"1975-1997","ch","nl",0
"1975-1997","ch","no",0
"1975-1997","ch","pl",0
"1975-1997","ch","pt",0
"1975-1997","ch","se",0
"1975-1997","ch","si",0
"1975-1997","ch","tr",0
"1975-1997","ch","yu",0
"1975-1997","cy","at",0
"1975-1997","cy","ba",0
"1975-1997","cy","be",0
"1975-1997","cy","ch",0
"1975-1997","cy","de",0
"1975-1997","cy","dk",0
"1975-1997","cy","ee",0
"1975-1997","cy","es",0
"1975-1997","cy","fi",0
"1975-1997","cy","fr",0
"1975-1997","cy","gb",0
"1975-1997","cy","gr",1
"1975-1997","cy","hr",0
"1975-1997","cy","hu",0
"1975-1997","cy","ie",0
"1975-1997","cy","il",0
"1975-1997","cy","is",0
"1975-1997","cy","it",0
"1975-1997","cy","lu",0
"1975-1997","cy","mt",0
"1975-1997","cy","nl",0
"1975-1997","cy","no",0
"1975-1997","cy","pl",0
"1975-1997","cy","pt",0
"1975-1997","cy","ru",0
"1975-1997","cy","se",0
"1975-1997","cy","si",0
"1975-1997","cy","tr",0
"1975-1997","cy","yu",1
"1975-1997","de","at",0
"1975-1997","de","ba",0
"1975-1997","de","be",0
"1975-1997","de","ch",0
"1975-1997","de","cy",0
"1975-1997","de","dk",0
"1975-1997","de","es",0
"1975-1997","de","fi",0
"1975-1997","de","fr",0
"1975-1997","de","gb",0
"1975-1997","de","gr",0
"1975-1997","de","hr",0
"1975-1997","de","hu",0
