period,group,country,code
1975-1997,G1,Bosnia & Herzegovina,ba
1975-1997,G1,Turkey,tr
1975-1997,G2,Sweden,se
1975-1997,G2,Denmark,dk
1975-1997,G2,Norway,no
1975-1997,G2,Iceland,is
1975-1997,G2,Finland,fi
1975-1997,G3,Russia,ru
1975-1997,G3,Slovenia,si
1975-1997,G4,United Kingdom,gb
1975-1997,G4,Ireland,ie
1975-1997,G4,Luxembourg,lu
1975-1997,G4,Belgium,be
1975-1997,G4,Switzerland,ch
1975-1997,G5,Israel,il
1975-1997,G5,Yugoslavia,yu
1975-1997,G6,Estonia,ee
1975-1997,G6,Poland,pl
1975-1997,G6,Hungary,hu
1975-1997,G7,Cyprus,cy
1975-1997,G7,Greece,gr
1975-1997,G8,Germany,de
1975-1997,G8,France,fr
1975-1997,G8,Netherlands,nl
1975-1997,G8,Austria,at
1975-1997,G9,Croatia,hr
1975-1997,G9,Malta,mt
1975-1997,G9,Portugal,pt
1975-1997,G10,Italy,it
1975-1997,G10,Spain,es
1975-1997,G10,Monaco,mc
