ccodealp,year,icrg_qog
IND,1988,0.5277777777777778
IND,1989,0.5092592592592592
IND,1990,0.4212962962962963
IND,1991,0.4351851851851852
IND,1992,0.5277777777777778
IND,1993,0.6111111111111112
IND,1994,0.6388888888888888
IND,1995,0.6388888888888888
IND,1996,0.6388888888888888
IND,1997,0.6388888888888888
IND,1998,0.6388888888888888
IND,1999,0.6388888888888888
IND,2000,0.6388888888888888
IND,2001,0.5972222222222222
IND,2002,0.5555555555555555
IND,2003,0.5555555555555555
IND,2004,0.5949074074074074
IND,2005,0.611111111111111
IND,2006,0.611111111111111
IND,2007,0.611111111111111
IND,2008,0.611111111111111
IND,2009,0.611111111111111
IND,2010,0.611111111111111
IND,2011,0.5833333333333334
IND,2012,0.611111111111111
IND,2013,0.611111111111111
IND,2014,0.611111111111111
IND,2015,0.6319444444444444
IND,2016,0.638888888888889
IND,2017,0.638888888888889
IND,2018,0.638888888888889
IND,2019,0.638888888888889
IND,2020,0.638888888888889
IND,2021,0.638888888888889
IND,2022,0.638888888888889
IND,2023,0.638888888888889
IND,2024,0.6643518518518519
IND,2025,0.6666666666666666
IDN,1984,0.13888888888888887
IDN,1985,0.16666666666666666
IDN,1986,0.12962962962962962
IDN,1987,0.1111111111111111
IDN,1988,0.1111111111111111
IDN,1989,0.1111111111111111
IDN,1990,0.12962962962962962
IDN,1991,0.2546296296296296
IDN,1992,0.45138888888888884
IDN,1993,0.5555555555555555
IDN,1994,0.5555555555555555
IDN,1995,0.5925925925925926
IDN,1996,0.5972222222222222
IDN,1997,0.5231481481481481
IDN,1998,0.375
IDN,1999,0.40740740740740744
IDN,2000,0.46759259259259256
IDN,2001,0.36111111111111116
IDN,2002,0.3333333333333333
IDN,2003,0.3333333333333333
IDN,2004,0.3703703703703704
IDN,2005,0.38888888888888884
IDN,2006,0.46296296296296297
IDN,2007,0.5023148148148148
IDN,2008,0.5324074074074074
IDN,2009,0.5462962962962963
IDN,2010,0.5
IDN,2011,0.5
IDN,2012,0.5
IDN,2013,0.5
IDN,2014,0.5
IDN,2015,0.47453703703703703
IDN,2016,0.47222222222222227
IDN,2017,0.47222222222222227
IDN,2018,0.6944444444444443
IDN,2019,0.4756944444444445
IDN,2020,0.513888888888889
IDN,2021,0.5
IDN,2022,0.4791666666666667
IDN,2023,0.5208333333333334
IDN,2024,0.5277777777777778
IDN,2025,0.5277777777777778
IRN,1984,0.34259259259259256
IRN,1985,0.3611111111111111
IRN,1986,0.3611111111111111
IRN,1987,0.3611111111111111
IRN,1988,0.3055555555555555
IRN,1989,0.3055555555555555
IRN,1990,0.3055555555555555
IRN,1991,0.3703703703703704
IRN,1992,0.46759259259259256
IRN,1993,0.6157407407407408
IRN,1994,0.7083333333333334
IRN,1995,0.75
IRN,1996,0.75
IRN,1997,0.7152777777777778
IRN,1998,0.6666666666666666
IRN,1999,0.6666666666666666
IRN,2000,0.6666666666666666
IRN,2001,0.5717592592592592
IRN,2002,0.5
IRN,2003,0.5
IRN,2004,0.5
IRN,2005,0.5
IRN,2006,0.5
IRN,2007,0.5
IRN,2008,0.5
IRN,2009,0.5
IRN,2010,0.47685185185185186
IRN,2011,0.47222222222222215
IRN,2012,0.47222222222222215
IRN,2013,0.47222222222222215
IRN,2014,0.47222222222222215
IRN,2015,0.47222222222222215
IRN,2016,0.47222222222222215
IRN,2017,0.47222222222222215
IRN,2018,0.47222222222222215
IRN,2019,0.47222222222222215
IRN,2020,0.46990740740740744
IRN,2021,0.4444444444444445
IRN,2022,0.4375
IRN,2023,0.40046296296296297
IRN,2024,0.3912037037037037
IRN,2025,0.4166666666666667
IRQ,1984,0.2523148148148148
IRQ,1985,0.3055555555555555
IRQ,1986,0.3055555555555555
IRQ,1987,0.3055555555555555
IRQ,1988,0.3611111111111111
IRQ,1989,0.3194444444444444
IRQ,1990,0.2824074074074074
IRQ,1991,0.1273148148148148
IRQ,1992,0.1111111111111111
IRQ,1993,0.16203703703703706
IRQ,1994,0.1875
IRQ,1995,0.25
IRQ,1996,0.25
IRQ,1997,0.2152777777777778
IRQ,1998,0.16666666666666666
IRQ,1999,0.16666666666666666
IRQ,2000,0.16666666666666666
IRQ,2001,0.16666666666666666
IRQ,2002,0.16666666666666666
IRQ,2003,0.24537037037037038
IRQ,2004,0.1597222222222222
IRQ,2005,0.13888888888888887
IRQ,2006,0.13888888888888887
IRQ,2007,0.13888888888888887
IRQ,2008,0.24652777777777776
IRQ,2009,0.2800925925925926
IRQ,2010,0.2916666666666667
IRQ,2011,0.2916666666666667
IRQ,2012,0.27314814814814814
IRQ,2013,0.2638888888888889
IRQ,2014,0.2638888888888889
IRQ,2015,0.2638888888888889
IRQ,2016,0.2638888888888889
IRQ,2017,0.2638888888888889
IRQ,2018,0.2638888888888889
IRQ,2019,0.28703703703703703
IRQ,2020,0.30324074074074076
IRQ,2021,0.3194444444444444
IRQ,2022,0.35763888888888884
IRQ,2023,0.3194444444444444
IRQ,2024,0.3194444444444444
IRQ,2025,0.3333333333333333
IRL,1984,0.7916666666666666
IRL,1985,0.7916666666666666
IRL,1986,0.7916666666666666
IRL,1987,0.7916666666666666
IRL,1988,0.7916666666666666
IRL,1989,0.8101851851851851
IRL,1990,0.8472222222222223
IRL,1991,0.8784722222222223
IRL,1992,0.888888888888889
IRL,1993,0.888888888888889
IRL,1994,0.9305555555555557
IRL,1995,0.9444444444444445
IRL,1996,0.9444444444444445
IRL,1997,0.8657407407407408
IRL,1998,0.8333333333333334
IRL,1999,0.7824074074074074
IRL,2000,0.7777777777777777
IRL,2001,0.7916666666666666
IRL,2002,0.8611111111111112
IRL,2003,0.8611111111111112
IRL,2004,0.8240740740740741
IRL,2005,0.8703703703703703
IRL,2006,0.8819444444444445
IRL,2007,0.8611111111111112
IRL,2008,0.8611111111111112
IRL,2009,0.8611111111111112
IRL,2010,0.8611111111111112
IRL,2011,0.8611111111111112
IRL,2012,0.8796296296296297
IRL,2013,0.8888888888888888
IRL,2014,0.8912037037037037
IRL,2015,0.9166666666666666
IRL,2016,0.9166666666666666
IRL,2017,0.9166666666666666
IRL,2018,0.9166666666666666
IRL,2019,0.9166666666666666
IRL,2020,0.9166666666666666
IRL,2021,0.9166666666666666
IRL,2022,0.9166666666666666
IRL,2023,0.9166666666666666
IRL,2024,0.9166666666666666
IRL,2025,0.9166666666666666
ISR,1984,0.5833333333333334
ISR,1985,0.6851851851851851
ISR,1986,0.6944444444444445
ISR,1987,0.6944444444444445
ISR,1988,0.6342592592592593
